2.282	4867
2.061	3856
2.074	3395
1.915	2699
2.220	2991
2.353	5440
2.085	3285
2.034	2989
2.018	2762
1.555	2246
1.951	2917
1.575	1915
1.639	2074
2.089	3385
1.622	1874
1.604	2108
1.421	1698
1.624	2108
1.968	2966
1.883	2652
2.224	5076
2.119	3423
2.405	4228
2.069	3717
1.722	2296
2.464	4359
2.341	4916
1.491	1707
2.022	3756
1.495	1731
1.751	2322
1.680	2284
2.331	4808
1.823	2324
2.195	2992
1.917	3763
2.348	4306
1.981	3028
2.390	5156
2.125	3298
1.569	2169
1.481	1702
1.784	2367
2.142	3864
2.235	4973
1.616	2271
2.387	4337
1.596	1884
2.072	3026
2.330	4185
1.961	2745
1.652	2134
1.425	1767
2.449	5208
2.380	4156
2.156	3266
2.190	3293
2.196	3833
1.642	2281
2.190	2997
1.997	2628
2.273	4986
1.497	1764
1.462	1705
2.348	5376
1.472	1781
1.463	1882
2.421	4407
1.984	3749
2.443	5185
1.475	1774
1.608	2284
1.996	2644
2.025	2763
2.175	3358
2.010	3780
2.035	2715
1.427	1781
1.978	2659
2.417	5205
1.610	2280
2.309	4247
1.658	2310
1.777	2303
2.068	3328
2.356	4314
2.120	3832
2.337	4184
1.613	1843
1.421	1894
2.101	3745
1.679	1864
2.369	5526
2.288	5124
2.375	5291
2.498	5300
1.989	2667
1.932	2596
1.542	1905
1.955	2946
1.553	2123
1.481	1882
2.013	2939
1.611	1859
2.293	4829
1.649	2073
2.084	3335
2.239	5074
2.301	4247
2.069	3344
2.328	5492
1.591	1861
1.620	2177
1.559	2144
2.014	2976
2.206	5012
1.425	1727
1.605	2056
2.467	4400
2.025	2670
1.576	2098
2.219	4818
2.055	3289
2.115	3020
2.370	5454
1.558	1878
2.136	3809
2.339	5502
1.648	2084
1.960	3734
1.449	1750
2.245	5046
